Date,Price,Open,High,Low,Vol,Change
8/13/2013,1320.6,1335.6,1340.9,1318,4.42K,-0.0103
8/12/2013,1334.3,1313.8,1343.6,1313.8,6.50K,0.0168
8/9/2013,1312.3,1311.5,1316.4,1304.8,2.65K,0.0017
8/8/2013,1310.1,1286,1313.8,1282.6,5.26K,0.0191
8/7/2013,1285.5,1281.9,1289.1,1272.1,5.37K,0.0023
8/6/2013,1282.6,1302.9,1305.9,1278.4,11.51K,-0.0151
8/5/2013,1302.2,1311.6,1320.2,1296.6,3.25K,-0.0062
8/2/2013,1310.3,1308.3,1317.4,1282.5,9.02K,-0.0004
8/1/2013,1310.8,1324,1330.1,1306.6,8.96K,-0.0014
7/31/2013,1312.6,1326.5,1339.4,1304.8,10.61K,-0.0089
7/30/2013,1324.4,1327.4,1329.6,1316.6,7.36K,-0.0033
7/29/2013,1328.8,1333.6,1338.1,1323.7,1.34K,0.0056
7/26/2013,1321.4,1334.7,1340.4,1312,1.29K,-0.0057
7/25/2013,1329,1318.3,1337.2,1309.4,0.69K,0.007
7/24/2013,1319.7,1344.8,1346,1314,0.68K,-0.0114
7/23/2013,1334.9,1335.4,1347.4,1327,0.57K,-0.0011
7/22/2013,1336.4,1297.4,1337.5,1297.4,0.36K,0.0334
7/19/2013,1293.2,1283.8,1296.2,1283.8,0.12K,0.0068
7/18/2013,1284.5,1274.6,1287.1,1274.6,0.09K,0.0052
7/17/2013,1277.8,1290.9,1298.3,1272.1,0.24K,-0.0101
7/16/2013,1290.8,1279.4,1294.5,1277.9,0.05K,0.0053
7/15/2013,1284,1292.8,1293.3,1275,0.08K,0.0046
7/12/2013,1278.1,1286.2,1286.2,1268.1,0.07K,-0.0018
7/11/2013,1280.4,1277.7,1297,1275,0.20K,0.026
7/10/2013,1248,1248.4,1263,1244.4,0.13K,0.0012
7/9/2013,1246.5,1236,1259,1232.9,0.16K,0.0089
7/8/2013,1235.5,1222.1,1236.7,1216.3,0.14K,0.0183
7/5/2013,1213.3,1255,1255,1208.7,0.32K,0.0005
7/4/2013,1212.7,1252.7,1257.1,1206.9,227.04K,-0.0318
7/3/2013,1252.5,1246.8,1258,1244,0.04K,0.0068
7/2/2013,1244,1264.7,1264.7,1241.2,0.02K,-0.0098
7/1/2013,1256.3,1235.3,1260.1,1225,0.10K,0.0262
6/28/2013,1224.2,1201.5,1235.3,1183.9,0.08K,0.01
6/27/2013,1212.1,1212.1,1212.1,1212.1,261.39K,-0.0144
6/26/2013,1229.8,1277,1277.5,1221,318.40K,-0.0355
6/25/2013,1275.1,1281.7,1289,1270.7,161.80K,-0.0016
6/24/2013,1277.1,1296.3,1300.7,1275.1,160.33K,-0.0115
6/21/2013,1292,1277.6,1301.7,1268.7,190.15K,0.0045
6/20/2013,1286.2,1351.2,1351.2,1275.4,368.87K,-0.0639
6/19/2013,1374,1367.3,1376,1348.3,136.47K,0.0052
6/18/2013,1366.9,1384.3,1385.4,1360.2,128.78K,-0.0117
6/17/2013,1383.1,1390.1,1391.4,1379.8,78.35K,-0.0032
6/14/2013,1387.6,1384.8,1391.8,1377.8,100.91K,0.0071
6/13/2013,1377.8,1387.4,1394.4,1373,127.78K,-0.0102
6/12/2013,1392,1377.7,1394,1372.2,112.20K,0.0109
6/11/2013,1377,1385.9,1387.2,1364.5,146.06K,-0.0065
6/10/2013,1386,1383,1388.5,1375.1,109.06K,0.0022
6/7/2013,1383,1412.7,1417.7,1377.1,199.05K,-0.0232
6/6/2013,1415.8,1401.8,1423.3,1391.2,177.14K,0.0124
6/5/2013,1398.5,1398.8,1410.3,1395.1,139.66K,0.0009
